11-17 13:13:03 下午 com.xiaomi.pass [Thread:25119] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 13:13:03 下午 com.xiaomi.pass [Thread:25123] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-17 13:13:09 下午 com.xiaomi.pass [Thread:25195] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 13:13:09 下午 com.xiaomi.pass [Thread:25199] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-17 13:18:38 下午 com.xiaomi.pass [Thread:25303] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 13:18:38 下午 com.xiaomi.pass [Thread:25307] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-17 13:21:18 下午 com.xiaomi.pass [Thread:25419] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 13:21:18 下午 com.xiaomi.pass [Thread:25423] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-17 13:21:25 下午 com.xiaomi.pass [Thread:25515] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 13:21:25 下午 com.xiaomi.pass [Thread:25519] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-17 13:44:17 下午 com.xiaomi.pass [Thread:25686] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 13:44:17 下午 com.xiaomi.pass [Thread:25690] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-17 13:44:26 下午 com.xiaomi.pass [Thread:25818] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 13:44:26 下午 com.xiaomi.pass [Thread:25823] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-17 17:50:58 下午 com.xiaomi.pass [Thread:26514] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 17:51:06 下午 com.xiaomi.pass [Thread:26615] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 17:51:38 下午 com.xiaomi.pass [Thread:26706] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 17:51:46 下午 com.xiaomi.pass [Thread:26811] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 17:51:51 下午 com.xiaomi.pass [Thread:26814] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-17 17:51:52 下午 com.xiaomi.pass [Thread:26816] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-17 17:51:53 下午 com.xiaomi.pass [Thread:26817] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-17 17:51:53 下午 com.xiaomi.pass [Thread:26818] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-17 20:54:15 下午 com.xiaomi.pass [Thread:27314] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 20:54:22 下午 com.xiaomi.pass [Thread:27461] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 20:54:25 下午 com.xiaomi.pass [Thread:27465] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-17 20:54:25 下午 com.xiaomi.pass [Thread:27467] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-17 21:05:44 下午 com.xiaomi.pass [Thread:27722] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 21:05:44 下午 com.xiaomi.pass [Thread:27726] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-17 21:05:52 下午 com.xiaomi.pass [Thread:27819] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-17 21:05:52 下午 com.xiaomi.pass [Thread:27823] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-18 07:49:31 上午 com.xiaomi.pass [Thread:28979] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 07:49:39 上午 com.xiaomi.pass [Thread:29074] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 07:49:45 上午 com.xiaomi.pass [Thread:29079] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-18 07:49:46 上午 com.xiaomi.pass [Thread:29081] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-18 08:20:09 上午 com.xiaomi.pass [Thread:29518] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 08:20:09 上午 com.xiaomi.pass [Thread:29522] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-18 08:21:39 上午 com.xiaomi.pass [Thread:29695] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 08:21:39 上午 com.xiaomi.pass [Thread:29698] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-18 08:21:53 上午 com.xiaomi.pass [Thread:29867] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 08:21:53 上午 com.xiaomi.pass [Thread:29871] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-18 08:43:33 上午 com.xiaomi.pass [Thread:30190] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 08:43:33 上午 com.xiaomi.pass [Thread:30194] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-18 08:43:44 上午 com.xiaomi.pass [Thread:30363] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 08:43:44 上午 com.xiaomi.pass [Thread:30367] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-18 10:18:03 上午 com.xiaomi.pass [Thread:31155] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 10:18:11 上午 com.xiaomi.pass [Thread:31251] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 10:18:16 上午 com.xiaomi.pass [Thread:31260] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-18 10:18:17 上午 com.xiaomi.pass [Thread:31262] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-18 15:13:42 下午 com.xiaomi.pass [Thread:512] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 15:14:01 下午 com.xiaomi.pass [Thread:724] onCommandResult is called. command={set-account}, resultCode={0}, reason={duplicated user account}, category={null}, commandArguments={[890183393]} 
11-18 15:14:01 下午 com.xiaomi.pass [Thread:724] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 15:14:01 下午 com.xiaomi.pass [Thread:732] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
11-18 15:16:48 下午 com.xiaomi.pass [Thread:887] onCommandResult is called. command={register}, resultCode={0}, reason={null}, category={null}, commandArguments={[TKAd2GjTe5YDvhyet2p7MSVsn0luk8QXL4tg1aHQ6CE=]} 
11-18 15:16:48 下午 com.xiaomi.pass [Thread:891] onCommandResult is called. command={set-account}, resultCode={0}, reason={null}, category={null}, commandArguments={[890183393]} 
